FULLNAME,SHORTNAME,NICKNAME,DIVISION,ALIGNMENT,CONTRACT,ROLE,KEYWORD1,KEYWORD2,KEYWORD3,MANAGER,TAGTEAM,FACTION,CHAMPIONSHIP,ACCOLADES,WINS,LOSSES,DRAWS,RANK
�Macho Man� Randy Savage,,,Mens,,Retired,,,,,,,,,,,,,
Madcap Moss,,,Mens,,Inactive,,,,,,,,,,,,,
MAN.SOOR,,,Mens,Face,Blue,Jobber,Comedic,,,,Maximum Male Models,,,,,,,
Matt Riddle,,,Mens,,Inactive,,Comedic,Brawler,Technician,,,,,,,,,
Maryse,,,Womens,,Retired,Manager,,,,,,,,,,,,
Molly Holly,,,Womens,Face,,Manager,,,,,,,,,,,,
Montez Ford,,,Mens,Face,Blue,MidCard,,,,,Street Profits,,,,,,,
Mr. McMahon,,,Mens,Heel,,Manager,,,,,,,,,,,,
Mustafa Ali,,,Mens,Face,Red,MidCard,Athletic,,,,,,,,,,,
MVP,,,Mens,Heel,,Manager,,,,,,,,,,,,
Natalya,,,Womens,,Inactive,,,,,,,,,,,,,
Nikki Cross,,,Womens,Face,Red,MidCard,FanFavorite,,,,,,,,,,,
Nikki Bella,,,Womens,Heel,Red,MidCard,,,,,,,,,,,,
Nikkita Lyons,,,Womens,,Inactive,,,,,,,,,,,,,
Noam Dar,,,Mens,,Inactive,,,,,,,,,,,,,
Omos,,,Mens,Heel,Red,MidCard,Giant,Hoss,,,,,,,,,,
Otis,,,Mens,Face,Blue,Jobber,Hoss,,,,,,,,,,,
Queen Zelina,Zelina,,Womens,Heel,Red,MidCard,Arrogant,,,,,,,,,,,
Randy Orton,Orton,the Viper,Mens,Heel,Red,MainEvent,Arrogant,Veteran,,,,,,,,,,
Raquel Rodriguez,,,Womens,Heel,Blue,MidCard,,,,,,,,,,,,
Razor Ramon,,,Mens,,Retired,,,,,,,,,,,,,
Reggie,,,Mens,,Inactive,,Comedic,,,,,,,,,,,
Rey Mysterio,,,Mens,,Retired,,,,,,,,,,,,,
Rhea Ripley,,,Womens,Heel,Red,MainEvent,Hoss,Badass,,,,Judgment Day,,,,,,
Rick Boogs,,,Mens,Face,Blue,Jobber,Comedic,,,,,,,,,,,
Ricochet,,,Mens,Face,Red,MidCard,Athletic,High Risk,,,,,,,,,,
Ridge Holland,,,Mens,Heel,Red,MidCard,,,,,,The Brawling Brutes,,,,,,
Rikishi,,,Mens,,Retired,,,,,,,,,,,,,
Rob Van Damens,,Mr. Monday Night,Mens,Heel,,MainEvent,Athletic,,,,,,,,,,,
Robert Roode,,,Mens,,Inactive,,,,,,,,,,,,,
Roman Reigns,,the Head of the Table,Mens,Heel,Red,Legend,Veteran,Brawler,Badass,,,The Bloodline,,,,,,
Ronda Rousey,,,Womens,,Inactive,,Brawler,Badass,,,,,,,,,,
Rowdy Roddy Piper,,,Mens,,Retired,,,,,,,,,,,,,
Roxanne Perez,,,Womens,Face,Blue,Jobber,,,,,,,,,,,,
R-Truth,,,Mens,,Inactive,,Comedic,,,,,,,,,,,
Sami Zayn,,,Mens,Face,Red,MidCard,Athletic,,,,,,,,,,,
Santos Escobar,,,Mens,,Inactive,,,,,,,,,,,,,
Scott Hall,,,Mens,,Retired,,,,,,,,,,,,,
"Seth ""Freakin"" Rollins",,,Mens,Heel,Red,MainEvent,Athletic,Arrogant,,,,,,,,,,
Shane McMahon,,,Mens,,Inactive,,,,,,,,,,,,,
Shanky,,,Mens,,,Jobber,Comedic,,,,,,,,,,,
Shawn Michaels,,,Mens,,Retired,,,,,,,,,,,,,
Shayna Baszler,,the Queen of Spades,Womens,Heel,Red,UpperMidCard,Badass,Technician,,,,,,,,,,
Sheamus,,,Mens,Heel,Red,UpperMidCard,Badass,Brawler,Hoss,,,The Brawling Brutes,,,,,,
Shelton Benjamin,,,Mens,,Inactive,,Athletic,Technician,,,,,,,,,,
Shinsuke Nakamura,,,Mens,,Inactive,,,,,,,,,,,,,
Shotzi,,,Womens,Face,Blue,Jobber,,,,,,,,,,,,
Solo Sikoa,,the Enforcer,Mens,Heel,Red,MidCard,Brawler,,,,,The Bloodline,,,,,,
Sonya Deville,,,Womens,Heel,Red,MidCard,Brawler,,,,,,,,,,,
Stacy Keibler,,,Womens,,Inactive,,,,,,,,,,,,,
�Stone Cold� Steve Austin,,,Mens,,Retired,,,,,,,,,,,,,
Stephanie McMahon,,,Womens,,Inactive,,,,,,,,,,,,,
Syxx,,,Mens,,Retired,,,,,,,,,,,,,
Tamina,,,Mens,,Inactive,,,,,,,,,,,,,
T-BAR,,,Mens,,Inactive,,,,,,,,,,,,,
Ted DiBiase,,,Mens,,Inactive,,,,,,,,,,,,,
The Miz,,,Mens,Heel,Inactive,,Well-Spoken,Arrogant,,,,,,,,,,
The Rock,,,Mens,,Inactive,,,,,,,,,,,,,
Titus O�Neil,,,Mens,,Inactive,,Hoss,,,,,,,,,,,
Tommaso Ciampa,,,Mens,Heel,Red,MidCard,,,,,,,,,,,,
Triple H,,,Mens,,Inactive,,,,,,,,,,,,,
Trish Stratus,,,Womens,,Inactive,,,,,,,,,,,,,
Tyler Bate,,,Mens,,Inactive,,,,,,,,,,,,,
Tyler Breeze,,,Mens,Face,Red,MidCard,,,,,,Maximum Male Models,,,,,,
Ultimate Warrior,,,Mens,,Retired,,,,,,,,,,,,,
Umaga,,,Mens,,Retired,,,,,,,,,,,,,
Undertaker,,,Mens,,Retired,,,,,,,,,,,,,
Vader,,,Mens,,Retired,,Brawler,Hoss,Badass,,,,,,,,,
Veer Mahaan,,,Mens,,Inactive,,Brawler,Hoss,Badass,,,,,,,,,
Wes Lee,,,Mens,,Inactive,,,,,,,,,,,,,
Xavier Woods,,,Mens,Face,Red,MidCard,Comedic,,,,The New Day,The New Day,,,,,,
Xia Li,,,Mens,Heel,Blue,MidCard,Foreigner,Technician,,,,,,,,,,
X-Pac,,,Mens,,Retired,,,,,,,,,,,,,
Yokozuna,,,Mens,,Retired,,,,,,,,,,,,,
Zoey Stark,,,Womens,Face,Blue,Jobber,,,,,,,,,,,,
Rob Rocker,,,Mens,Heel,Red,UpperMidCard,,,,,,,,,,,,
Spade,,the Legend,Mens,Heel,Red,Legend,Arrogant,Technician,,,,,,,,,,
Game Over,,,Mens,Heel,Red,UpperMidCard,Brawler,Badass,Hoss,,,Immortal,,,,,,
Crawler,,the Monstrocity,Mens,Heel,Red,UpperMidCard,Hoss,Giant,Brawler,,,Immortal,,,,,,
Lord,,,Mens,Heel,Red,Legend,Giant,,,,,Immortal,,,,,,
PM3,,,Mens,Heel,Blue,MidCard,Smart,Underdog,FanFavorite,,,,,,,,,
The Falcon,,Defender of the Forest,Mens,Face,Red,MidCard,Comedic,Athletic,,,,,,,,,,
Renegade,,,Mens,Face,Red,MainEvent,Hoss,Brawler,ForeignObject,,,,,,,,,
Penelope Ford,,,Womens,Heel,Red,UpperMidCard,Athletic,Arrogant,,,,,,,,,,
Kip Sabian,Sabian,,Mens,Heel,Red,MidCard,Athletic,Arrogant,,,,,,,,,,
Kenny Omega,Omega,the Best Bout Machine,Mens,Face,Red,Legend,Athletic,Veteran,Technician,,,The Elite,,,,,,
Hangman Adam Page,Hangman,,Mens,Face,Red,MainEvent,Veteran,FanFavorite,Technician,,,,,,,,,
Matt Jackson,,,Mens,Face,Red,MainEvent,Athletic,Smart,High Risk,,The Young Bucks,The Elite,,,,,,
Nick Jackson,,,Mens,Face,Red,MainEvent,Athletic,Smart,High Risk,,The Young Bucks,The Elite,,,,,,
Powerhouse Hobbs,Hobbs,,Mens,Heel,Red,MidCard,Hoss,Brawler,,,,,,,,,,
Hook,,,Mens,Face,Red,MidCard,Brawler,Technician,,,,,,,,,,
Danhausen,,,Mens,Face,Red,Fan Favorite,Comedic,Underdog,FanFavorite,,,Best Friends,,,,,,
Mantis,,,Mens,Face,Red,MidCard,Underdog,Smart,Comedic,,,Best Friends,,,,,,
The Bunny,,,Womens,Heel,Red,MidCard,Unstable,,,,,,,,,,,
Chuck Taylor*,Chuck,,Mens,Face,Red,UpperMidCard,Comedic,Athletic,,,Best Friends,Best Friends,,,,,,
Trent Berretta*,Trent,,Mens,Face,Red,UpperMidCard,Comedic,Athletic,,,Best Friends,Best Friends,,,,,,
MJWomens,,,Mens,Heel,Red,MainEvent,Arrogant,Heat,Smart,,,,,,,,,
Jon Moxley,Moxley,Mox,Mens,Face,Red,MainEvent,Brawler,Badass,ForeignObject,,,Blackpool Combat Club,,,,,,
Chris Jericho,Jericho,Le Champion,Mens,Heel,Red,Legend,Arrogant,Well-spoken,Veteran,,,Jericho Appreciation Society,,,,,,
Daniel Garcia*,,,Mens,Heel,Red,MidCard,Athletic,,,,,Jericho Appreciation Society,,,,,,
Sammy Guevara,,the Spanish God,Mens,Heel,Red,MidCard,Athletic,High Risk,Daredevil,,,Jericho Appreciation Society,,,,,,
Jungle Boy Jack Perry,Jungle Boy,Jungle Boy,Mens,Face,Red,MidCard,Athletic,Technician,Underdog,,,,,,,,,
Wardlow,,,Mens,Face,Red,MidCard,Hoss,Badass,Brawler,,,,,,,,,
Anna Jay,,,Womens,Heel,Red,MidCard,,,,,,Jericho Appreciation Society,,,,,,
Keith Lee,,,Mens,Face,Red,MidCard,Well-Spoken,Smart,Giant,,Swerve In Our Glory,,,,,,,
Swerve Strickland,,,Mens,Heel,Red,MidCard,Smart,Athletic,Mind Games,,Swerve In Our Glory,,,,,,,
Kris Statlander,Statlander,,Womens,Heel,Red,MainEvent,Hoss,FanFavorite,,,,Best Friends,,,,,,
Orange Cassidy,,,Mens,Face,Red,MidCard,FanFavorite,Comedic,High Risk,,,Best Friends,American All Star,,,,,
Britt Baker DMD,Britt Baker,,Womens,Heel,Red,MainEvent,Arrogant,Entertaining,,,,The Originals,,,,,,
Jamie Hayter,,,Womens,Heel,Red,MainEvent,Hoss,Badass,Striker,,,The Originals,,,,,,
Willow Nightingale,Willow,,Womens,Face,Red,MidCard,Hoss,Badass,FanFavorite,,,,,,,,,
Ruby Soho,,,Womens,Heel,Red,MainEvent,Technician,Veteran,,,,The Outcasts,,,,,,
Saraya,,,Womens,Heel,Red,MainEvent,Veteran,Arrogant,Heat,,,The Outcasts,,,,,,
Toni Stormens,,,Womens,Heel,Red,MainEvent,,,,,,The Outcasts,,,,,,
Claudio Castagnoli,Claudio,,Mens,Face,Red,MidCard,Technician,Hoss,Striker,,,Blackpool Combat Club,,,,,,
Bryan Danielson,Danielson,,Mens,Face,Red,MainEvent,Technician,Veteran,Striker,,,Blackpool Combat Club,,,,,,
Austin Gunn,,,Mens,Heel,Red,UpperMidCard,Arrogant,,,,The Gunn Club,,,,,,,
Colten Gunn,,,Mens,Heel,Red,UpperMidCard,Arrogant,,,,The Gunn Club,,,,,,,
Dax Harwood,Dax,,Mens,Face,Red,MainEvent,FanFavorite,,,,FTR,,,,,,,
Cash Wheeler,Cash,,Mens,Face,Red,MainEvent,FanFavorite,,,,FTR,,,,,,,
Eddie Kingston,Kingston,The Mad King,Mens,Face,Red,MidCard,Unstable,Badass,Brawler,,,,,,,,,
PAC,,The Bastard,Mens,Face,Red,MainEvent,Athletic,High Risk,Badass,,,Death Triangle,TNT Championship,,,,,
Rey Fenix,Fenix,,Mens,Heel,Red,MainEvent,Daredevil,Lucha,High Risk,,Lucha Brothers,Death Triangle,,,,,,
Penta El Zero Miedo,Penta,,Mens,Heel,Red,MainEvent,Daredevil,Lucha,High Risk,,Lucha Brothers,Death Triangle,,,,,,
Evil Uno,Uno,,Mens,Face,Red,MidCard,Underdog,,,,Dark Order,Dark Order,,,,,,
Stu Grayson,,,Mens,Face,Red,MidCard,Underdog,Athletic,,,Dark Order,Dark Order,,,,,,
John Silver*,Silver,Johnny Hungee,Mens,Face,Red,MidCard,Underdog,Hoss,FanFavorite,,Silver & Reynolds,Dark Order,,,,,,
Alex Reynolds*,Reynolds,,Mens,Face,Red,MidCard,Underdog,,,,Silver & Reynolds,Dark Order,,,,,,
Joey Janela*,,The Bad Boy,Mens,Face,Red,MidCard,Smart,Brawler,Technician,,,,,,,,,
Nyla Rose*,Nyla,The Native Beast,Womens,Face,Red,MidCard,Badass,Hoss,,,,,,,,,,
Hikaru Shida,Shida,,Womens,Face,Red,MainEvent,Striker,Badass,Foreigner,,,The Originals,,,,,,
